PART ID,TYPE,MANUFACTURER,YEAR,PRICE
PART0001,transmission,Audi,2016,145.77
PART0002,transmission,Honda,2004,62.79
PART0003,battery,Volkswagen,2007,290.88
PART0004,suspension,Toyota,2020,121.08
PART0005,battery,Ford,2009,450.54
PART0006,battery,Toyota,2018,276.71
PART0007,brake,Honda,2009,303.71
PART0008,battery,Toyota,2014,257.49
PART0009,battery,BMW,2007,205.3
PART0010,engine,Audi,2011,73.58
PART0011,transmission,BMW,2006,452.49
PART0012,brake,BMW,2005,178.04
PART0013,battery,Honda,2013,315.03
PART0014,brake,Volkswagen,2012,462.61
PART0015,transmission,Volkswagen,2009,53.48
PART0016,battery,Audi,2002,183.57
PART0017,suspension,Audi,2003,400.8
PART0018,tire,Volkswagen,2019,468.05
PART0019,suspension,Ford,2001,194.4
PART0020,suspension,BMW,2014,142.65
PART0021,battery,Volkswagen,2018,109.76
PART0022,transmission,Ford,2009,129.07
PART0023,tire,Honda,2009,375.56
PART0024,brake,Volkswagen,2012,265.75
PART0025,tire,Volkswagen,2021,237.26
PART0026,tire,Volkswagen,2005,162.78
PART0027,engine,BMW,2015,467.68
PART0028,transmission,Toyota,2001,244.86
PART0029,engine,Mercedes,2021,163.85
PART0030,tire,Toyota,2013,412.19
PART0031,tire,Honda,2007,291.96
PART0032,suspension,Mercedes,2017,162.97
PART0033,suspension,Toyota,2019,90.51
PART0034,engine,Honda,2011,106.2
PART0035,suspension,Mercedes,2001,422.02
PART0036,engine,Ford,2013,239.65
PART0037,tire,Toyota,2006,190.56
PART0038,suspension,Volkswagen,2022,217.02
PART0039,tire,Ford,2022,404.14
PART0040,brake,Audi,2015,57.15
PART0041,battery,Toyota,2016,140.51
PART0042,engine,BMW,2000,175.92
PART0043,tire,BMW,2017,293.51
PART0044,suspension,Audi,2008,123.34
PART0045,suspension,Honda,2002,94.49
PART0046,suspension,Volkswagen,2015,292.72
PART0047,engine,Honda,2015,398.05
PART0048,transmission,Mercedes,2007,217.15
PART0049,transmission,BMW,2006,55.53
PART0050,tire,Audi,2019,303.27
PART0051,transmission,Ford,2006,412.59
PART0052,brake,Toyota,2021,305.5
PART0053,transmission,Honda,2003,123.04
PART0054,engine,BMW,2015,363.12
PART0055,tire,BMW,2018,81.35
PART0056,tire,Volkswagen,2018,295.38
PART0057,tire,BMW,2006,483.5
PART0058,engine,Mercedes,2015,163.43
PART0059,transmission,BMW,2018,271.06
PART0060,tire,BMW,2022,279.08
PART0061,engine,Mercedes,2000,341.94
PART0062,engine,Toyota,2014,128.92
PART0063,brake,Audi,2013,445.91
PART0064,battery,BMW,2020,323.11
PART0065,battery,BMW,2004,320.45
PART0066,suspension,Audi,2009,147.73
PART0067,suspension,Toyota,2009,248.5
PART0068,brake,Volkswagen,2000,325.97
PART0069,suspension,BMW,2021,134.51
PART0070,battery,Mercedes,2010,198.17
